entrez,pval,fc
64318,1.85225060417009e-117,1.58802496080645
9749,2.5070578819698703e-117,1.46431795600476
6772,3.40058112394497e-117,1.73451897208927
55737,2.1267676894875e-116,1.0800833390545
8329,2.32328754710585e-116,-1.16843961465793
5825,2.32761691561611e-116,1.31625528435266
10260,2.32761691561611e-116,1.61142599379012
54467,3.68077757790946e-116,1.47205013824556
205717,4.3357582835564895e-116,1.55285360087197
51773,6.6154664236013e-116,1.68912433137943
8491,1.16196488338734e-115,1.47088792248928
3977,1.41932035078983e-115,1.59569477950078
4938,2.25604575842532e-115,1.13980376712741
57587,2.66958196205052e-115,1.4644505963027
23215,3.65046248619343e-115,1.17719855856523
91543,4.33802855192636e-115,3.37982476093194
