entrez	pval	logfc
10157	0.0003415078026964	1.4
55200	0.0001196274856931	-2.4
51188	0.189366342831556	0.7
84954	0.000613652201263	-1.8
4257	0.408948081035042	0.5
1407	0.0095208090725916	1.0
4784	0.72209365799098	-0.2
6482	0.81144777488695	0.1
64386	0.0004058605557181	-2.7
9235	0.132188009222776	-1.0
5310	0.899321815561404	-0.1
23542	0.619776389255377	-0.5
9862	0.27659332831274	-0.5
23221	0.243133252441388	-0.9
54497	0.0012558887613146	-0.7
7095	6.37505535285637e-07	0.9
6224	1.76133474746191e-05	0.9
7812	0.0001712318002121	0.8
9690	0.0107026894038186	1.3
5980	0.138105826061211	0.4
10178	0.784127038823798	-0.2
10747	0.0221238784870837	-1.1
389434	0.0682856032543341	-1.7
199870	0.11414375300346	0.6
80342	0.203449925121717	-1.1
29954	0.597916143014489	0.4
51534	0.0262901057659839	0.9
51085	0.361294919469977	-0.8
9031	0.595224796001721	0.2
10048	6.34181554533466e-05	0.9
51513	0.745890942313964	-0.3
83932	0.260806764889709	0.5
51603	0.702049898114326	-0.3
8798	0.239328184809378	0.5
7756	0.932863760670498	0.0
7384	0.368917978966028	-0.4
83930	0.195127451921842	0.5
928	0.345718784016959	0.4
9918	0.0002101480916099	-1.0
25900	0.0519634976417131	-1.2
2696	0.0006070096988516	-2.3
51533	0.0533173714152233	-0.9
56920	0.340745759179726	0.8
11188	0.0307774059212745	-1.1
23166	0.430467339836638	0.6
80199	0.411223076213374	-0.8
3423	0.0030113640902841	1.0
5646	0.238825579069887	-1.2
7752	0.304201422648858	-0.6
920	0.205371748258415	-1.0
10233	0.477770605517092	-0.6
695	0.0293707053184118	-1.6
3077	0.511321717154662	0.5
22955	0.167780858938913	0.6
2534	0.104201333709489	0.5
3097	0.245473401659845	0.6
2326	0.917174960379192	0.1
6924	0.28011433134912	0.5
11313	0.112142326078599	-0.8
1185	0.184005905569228	0.7
9902	0.183442850833755	-0.9
6534	0.111156484999078	-1.5
10867	0.12619151561516	0.8
55727	0.555820436258642	-0.1
9546	0.0808667635801569	-0.9
54903	0.0743909728551841	-1.4
51099	0.0224292581495182	0.6
3730	0.587085762012633	-0.5
26993	0.336090990439779	-0.7
54799	0.997392215243587	0.0
51096	0.230878152321202	0.6
54476	0.155874248018426	-0.5
54902	0.250886826952185	-0.5
5725	0.276574166673879	-0.5
8193	0.638426394491401	-0.5
9066	0.256919456897256	-0.7
23395	0.0614426450611553	-0.8
5286	8.39943387247044e-07	1.1
5329	0.591390044002563	-0.4
54443	0.564728306787353	-0.4
58525	0.322339338288196	-0.4
23637	0.434095541643151	0.2
1634	0.0049150699878309	1.3
54814	0.195387754352579	1.2
5536	0.322339338288196	-0.6
23177	0.598275029153168	0.2
8491	0.0269142636202663	0.5
27033	5.2317225213817e-05	-4.1
7305	0.780322815319956	-0.2
57146	0.144688857551644	0.9
2556	0.113989598726894	-1.5
672	0.837882052513438	0.2
2067	0.941588797787707	0.1
933	0.571819421687173	-0.7
7869	0.0334542375512615	-1.4
51360	0.348079844847239	0.4
4007	0.415068068464939	-0.7
4057	0.107073074939089	-1.8
2137	0.406470725094198	0.6
9971	0.830287113221092	0.3
60481	5.86287212505543e-08	1.7
240	0.079531531105183	-1.6
8284	0.995422410688443	0.0
57658	0.0579302759353109	0.9
55148	0.459521303076274	0.3
11183	0.0026658790125998	0.6
30845	0.501604235451879	-0.5
